Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,schinese
perkMedic,progression,Attribute,,,The Medic,,战地医师
perkMedicBasicName,progression,Attribute,,,The Medic,,战地医师
perkMedicBasicDesc,progression,Attribute,,,Keep your friends alive or keep yourself away from their bodies.,,不让你的朋友变成尸体，或者远离他们的尸体。
reqPhysicianLevel01,progression,Attribute,,,Physician Level 1,,医师等级 1
reqPhysicianLevel02,progression,Attribute,,,Physician Level 2,,医师等级 2
reqPhysicianLevel03,progression,Attribute,,,Physician Level 3,,医师等级 3
reqPhysicianLevel04,progression,Attribute,,,Physician Level 4,,医师等级 4
perkMedicBasicLv1Desc,progression,Attribute,,,Little Prick,,小小针头
perkMedicBasicLv2Desc,progression,Attribute,,,Needler,,两肋插针
perkMedicBasicLv3Desc,progression,Attribute,,,Hot Shot,,药力四射
perkMedicBasicLv4Desc,progression,Attribute,,,Dart Master,,医疗镖师
perkMedicBasicLv5Desc,progression,Attribute,,,Jabberwocky,,区区小伤
perkMedicBasicLv6Desc,progression,Attribute,,,The Injector,,人形注射器
perkMedicBasicLv1LongDesc,progression,Attribute,,,"Heal your teammates with medic weapons, or poison the zombies. Heal and medic stock limitation is increased by 5% per level, consume per healing dart is decreased by 2% per level.",,使用医疗武器治疗你的队友，或者使丧尸中毒。治疗量和最大储备每级增加5%，储备消耗每级减少2%。
perkMedicBasicLv2LongDesc,progression,Attribute,,,"Heal amount and medic stock limitation increased by 5%, Healing dart consumption decreased by 2%.",,治疗量和医疗储备上限增加5%。医疗子弹消耗降低2%。
perkMedicBasicLv3LongDesc,progression,Attribute,,,"Heal amount and medic stock limitation increased by 10%, Healing dart consumption decreased by 4%.",,治疗量和医疗储备上限增加10%。医疗子弹消耗降低4%。
perkMedicBasicLv4LongDesc,progression,Attribute,,,"Heal amount and medic stock limitation increased by 15%, Healing dart consumption decreased by 6%.",,治疗量和医疗储备上限增加15%。医疗子弹消耗降低6%。
perkMedicBasicLv5LongDesc,progression,Attribute,,,"Heal amount and medic stock limitation increased by 20%, Healing dart consumption decreased by 8%. Unlock medic grenade recipe.",,治疗量和医疗储备上限增加20%。医疗子弹消耗降低8%。解锁医疗手雷制作。
perkMedicBasicLv6LongDesc,progression,Attribute,,,"Heal amount and medic stock limitation increased by 25%, Healing dart consumption decreased by 10%. Double healing speed for 5s on dart hits.",,治疗量和医疗储备上限增加25%。医疗子弹消耗降低10%。医疗武器命中使友军生命恢复速度翻倍，持续5秒。
skillTeamplayerName,progression,Skill,,,The Healer,,治疗者
skillTeamplayerDesc,progression,Skill,,,"What should I put here? It's a medic gun, go heal some allies.",,我应该在这里写什么？这是一把医疗枪，拿它去给队友加血。
skillSurvivorName,progression,Skill,,,The Survivor,,生存者
skillSurvivorDesc,progression,Skill,,,"What should I put here? It's a medic gun... Wait a second, is it?",,我应该在这里写什么？这是一把医疗枪……等一下，这是医疗枪？
reqMedicLevel02,progression,Attribute,,,The Medic Level 2,,战地医师 等级2
reqMedicLevel03,progression,Attribute,,,The Medic Level 3,,战地医师 等级3
reqMedicLevel04,progression,Attribute,,,The Medic Level 4,,战地医师 等级4
reqMedicLevel05,progression,Attribute,,,The Medic Level 5,,战地医师 等级5
reqMedicLevel06,progression,Attribute,,,The Medic Level 6,,战地医师 等级6
