Key,File,Type,UsedInMainMenu,english,schinese
inpGrpVehicleWeaponBasicName,UI,Controls Dialog,x,Vehicle Weapon Keys,载具武器
inpActVehicleWeaponActivateSlot1Name,UI,Controls Dialog,x,Slot1,槽位1
inpActVehicleWeaponActivateSlot2Name,UI,Controls Dialog,x,Slot2,槽位2
inpActVehicleWeaponActivateSlot3Name,UI,Controls Dialog,x,Slot3,槽位3
inpActVehicleWeaponActivateSlot4Name,UI,Controls Dialog,x,Slot4,槽位4
inpActVehicleWeaponActivateSlot5Name,UI,Controls Dialog,x,Slot5,槽位5
inpActVehicleWeaponActivateSlot6Name,UI,Controls Dialog,x,Slot6,槽位6
inpActVehicleWeaponActivateSlot7Name,UI,Controls Dialog,x,Slot7,槽位7
inpActVehicleWeaponActivateSlot8Name,UI,Controls Dialog,x,Slot8,槽位8
inpActVehicleWeaponActivateSlot9Name,UI,Controls Dialog,x,Slot9,槽位9
inpActVehicleWeaponActivateSlot10Name,UI,Controls Dialog,x,Slot10,槽位10
inpActVehicleWeaponActivateSlotDesc,UI,Controls Dialog,x,Press or hold Slot key to fire weapon on this slot,按下或按住槽位键来使对应的武器开火
inpActVehicleWeaponHoldToggleActivatedName,UI,Controls Dialog,x,Activate Slot,激活槽位
inpActVehicleWeaponHoldToggleActivatedDesc,UI,Controls Dialog,x,Hold this key and press Slot key to toggle activation of weapon,按住此按键并按槽位键以切换对应武器的激活状态
inpActVehicleWeaponFireShotName,UI,Controls Dialog,x,Fire Weapon,开火
inpActVehicleWeaponFireShotDesc,UI,Controls Dialog,x,Press or hold to fire all weapons,按住开火键来使所有武器开火
inpActVehicleHoldSwitchSeatName,UI,Controls Dialog,x,Switch Seat,切换座位
inpActVehicleHoldSwitchSeatDesc,UI,Controls Dialog,x,Hold this key and press Slot key to switch to the corresponding seat,按住此按键并按槽位键以切换至对应的座位
