Key,File,Type,english,schinese
meleeWpnBladeT3KF2Katana,items,Melee,Katana (Prototype 01),武士刀（原型01）
meleeWpnBladeT3KF2KatanaDesc,items,Melee,"Slashes faster and heavier than a machete with an additional stamina cost. Use the [action:permanent:Reload][action:local:Reload] key to move through different weapon check animations.\n\nUse [action:KFLibPlayerActions:PerformAltMelee] to perform stabbing attack, which consumes less stamina and has stealth bonus.\n\nCan be crafted, found in loot, rewards, or the trader inventory. Useful for gutting animals but you can't harvest with it.\n\nRepair with a Repair Kit.\nScrap to Machete parts.\n\nTry and show a little respect for its class.","比普通砍刀更快且更致命，但是更耗体力。使用[action:permanent:Reload][action:local:Reload]键检视武器。\n\n使用[action:KFLibPlayerActions:PerformAltMelee]戳刺敌人，消耗耐力较少且拥有潜行加成。\n\n可以通过制作、搜刮、任务或者商人获得。擅长开肠破肚，但是无法用于收割资源。\n\n使用修理工具维修。\n可拆解为砍刀零件。\n\n试挥一下，别忘了礼仪。"
gunT3M4Benelli,items,Gun,M4 Combat Shotgun,M4战斗霰弹枪
gunT3M4BenelliDesc,items,Gun,"Fire mode is semi-auto only. Reload can be cancelled by shooting and aiming.\n\nBenelli designed the M4 Combat Shotgun for the US military. Semi-automatic, allowing for a good, steady rate of fire.\n\nUse [action:KFLibPlayerActions:PerformAltMelee] to bash. Bashing is Club type.","射击模式只有半自动。可以通过射击和瞄准取消换弹。\n\n伯奈利为美国军队设计了M4战斗霰弹枪。它是半自动式，可以良好和稳定地射击。\n\n使用[action:KFLibPlayerActions:PerformAltMelee]推击。推击为棍棒类型。"
gunKaboomstick,items,Gun,HRG Kaboomstick,HRG大爆炸射手
gunKaboomstickDesc,items,Gun,"Explosive ammo included to spice up the experience.\n\nUse [action:KFLibPlayerActions:PerformAltMelee] to bash. Bashing is Club type.",使用爆炸子弹，体验倍增！\n\n使用[action:KFLibPlayerActions:PerformAltMelee]推击。推击为棍棒类型。
ammoKaboomstickShellHE,item,Ammo,HRG Kaboomstick Shell HE,HRG大爆炸射手弹药 高爆
ammoKaboomstickShellFrag,item,Ammo,HRG Kaboomstick Shell Frag,HRG大爆炸射手弹药 破片
gunHandgunT3AF2011A1S,item,Gun,AF2011-A1,AF2011-A1
gunHandgunT3AF2011A1SDesc,item,Gun,"Fire mode is semi-auto only.\n\nEverything is better when you put more barrels on it. It's like adding more bacon.\n\nUse [action:KFLibPlayerActions:PerformAltMelee] to bash. Bashing is Brawler type.","开火模式只有半自动。\n\n如果你多装一个枪管，一切都会好起来，就像多加了一些培根。\n\n使用[action:KFLibPlayerActions:PerformAltMelee]推击。推击为搏斗类型。"
gunHandgunT3DualAF2011A1S,item,Gun,Dual AF2011-A1s,双持AF2011-A1
gunHandgunT3DualAF2011A1SDesc,item,Gun,"Fire mode is semi-auto only. Activating weapon switches aiming styles when in Ironsights.\n\nTwo guns with two barrels each. Four times the firepower. That's math. You can't argue with math.\n\nUse [action:KFLibPlayerActions:PerformAltMelee] to bash. Bashing is Brawler type.","开火模式只有半自动。激活武器可以切换瞄准模式。\n\n两支枪各配有两个弹筒。四倍火力。这就是数学。你不能不信数学。\n\n使用[action:KFLibPlayerActions:PerformAltMelee]推击。推击为搏斗类型。"
modGunAF2011OspreySilencer,item_modifiers,mod,Osprey Silencer for AF2011,"AF2011专用鱼鹰消音器"
modGunDualAF2011OspreySilencer,item_modifiers,mod,Osprey Silencer for Dual AF2011s,"双持AF2011专用鱼鹰消音器"
modGunAF2011MuzzleBrake,item_modifiers,mod,Muzzle Brake for AF2011,"AF2011专用制退器"
modGunDualAF2011MuzzleBrake,item_modifiers,mod,Muzzle Brake for Dual AF2011s,"双持AF2011专用制退器"
modDualGunLaserSight,item_modifiers,mod,Laser Sight for Dual Wield Weapons,"双持武器激光瞄准器"
modDualGunFlashlight,item_modifiers,mod,Flashlight for Dual Wield Weapons,"双持武器下挂手电筒"
modGunAF2011ReflexSight,item_modifiers,mod,Reflex Sight for AF2011,"AF2011专用反射瞄具"
modGunDualAF2011ReflexSight,item_modifiers,mod,Reflex Sight for Dual AF2011s,"双持AF2011专用反射瞄具"
gunT3HZ12,item,Gun,HZ12 Multi-Action,多动作 HZ12
gunT3HZ12Desc,item,Gun,"Fire mode is a dual semi-auto/pump-action.\n\nThe HZ12 shotgun is an experimental prototype that is being tested by Horzine security forces. Zeds were harmed in the development of this weapon.\n\nUse [action:KFLibPlayerActions:PerformAltMelee] to bash. Bashing is Club type.",射击模式为双发泵动。\n\nHZ12霰弹枪是霍因安全部队测试的实验模型。丧尸在该武器研发的过程中受到了伤害。\n\n使用[action:KFLibPlayerActions:PerformAltMelee]推击。推击为棍棒类型。
